id,movie_id,title,year,directors,casts,rating,cover,country,summary,types,lang,release_date,time,url
75243121683446,36069854,猩球崛起：新世界,2024,韦斯·鲍尔,"欧文·泰格,弗蕾娅·艾伦,凯文·杜兰,彼德·梅肯,威廉姆·H·梅西,艾卡·达维尔,特拉维斯·杰弗里,莉迪亚·佩克汉,尼尔·桑迪兰兹,迪辰·拉克曼,拉斯-塞缪尔·瓦尔达布兹,萨拉·怀斯曼,卡琳·考诺娃,尼娜·加拉斯,Olga Miller,Zay Domo Artist,Dmitriy Miller,Anastasia Miller",6.4,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2905957300.jpg, 美国,故事设定在“猿流感”病毒蔓延全球的背景下，人类几近毁灭，而进化为高级智慧生物的猿类一跃成为食物链顶端的王者。时移世异，暴虐的猿类首领赛撒（凯文·杜兰 Kevin Durand 饰）在一片废墟中建立起猿族历史上的第一个帝国——“猩球”崛起，这是世界新秩序诞生的黎明时分。神秘的人类女孩诺娃（弗蕾娅·艾伦 Freya Allan 饰）的出现，引起了赛撒的警觉。她似乎掌握着一个巨大的秘密，不仅关乎人类的存亡，甚至可能再度颠覆整个“猩球”。被迫逃亡的诺娃在躲避赛撒军队的过程中，与青年猿类诺亚（欧文·泰格 Owen Teague 饰）的命运交汇，揭开了一段冒险的旅程。,"动作,科幻,冒险", 英语,2024-05-10,145分钟,https://movie.douban.com/subject/36069854/
897387696864347,1308807,哈尔的移动城堡,2004,宫崎骏,"倍赏千惠子,木村拓哉,美轮明宏,我修院达也,神木隆之介,伊崎充则,大泉洋,大塚明夫,原田大二郎,加藤治子,都筑香弥子",9.1,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2907583906.jpg, 日本,继母因无力负担生活，将苏菲和她的两个妹妹都送到了制帽店去当学徒。两个妹妹很快先后就离开了制帽店去追寻各自的梦想，只有苏菲坚持了下来。一天，小镇旁边来了一座移动堡垒，传说堡垒的主人哈尔专吸取年青姑娘的灵魂，所以小镇的姑娘都不敢靠近。,"爱情,动画,奇幻,冒险", 日语,2024-04-30,119分钟,https://movie.douban.com/subject/1308807/
369897776605096,36369452,飞驰人生2,2024,韩寒,"沈腾,范丞丞,尹正,张本煜,孙艺洲,魏翔,贾冰,郑恺,冯绍峰,黄景瑜,刘昊然,于适,胡先煦,阎鹤祥,周野芒,高华阳,孙强,范高翔,郝瀚",7.7,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2903066285.jpg, 中国大陆,五年前巴音布鲁克的悲壮一搏，传奇车手张驰（沈腾 饰）赢得了比赛，却输掉了一切。因铅封始终未能找到，他的成绩被组委会取消，为了谋生开办驾校又遭到网络恶意中伤，穷困潦倒，不闻一名。偶然的一天，一通电话让他重燃赛车手的热情。濒临停产的老头乐车厂厂长（贾冰 饰）是张驰的粉丝，他 主动提出赞助让张驰的车队去拼搏最后一届巴音布鲁克。老头乐的员工厉小海（范丞丞 饰）天赋出众，在张驰、孙宇强（尹正 饰）、记星（张本煜 饰）和万年不及格的菜鸟驾校学员刘显德（孙艺洲 饰）联合训练下，小海成长迅速。,"剧情,喜剧,运动", 汉语普通话,2024-02-10,121分钟,https://movie.douban.com/subject/36369452/
613843346930404,36369452,飞驰人生2,2024,韩寒,"沈腾,范丞丞,尹正,张本煜,孙艺洲,魏翔,贾冰,郑恺,冯绍峰,黄景瑜,刘昊然,于适,胡先煦,阎鹤祥,周野芒,高华阳,孙强,范高翔,郝瀚",7.7,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2903066285.jpg, 中国大陆,五年前巴音布鲁克的悲壮一搏，传奇车手张驰（沈腾 饰）赢得了比赛，却输掉了一切。因铅封始终未能找到，他的成绩被组委会取消，为了谋生开办驾校又遭到网络恶意中伤，穷困潦倒，不闻一名。偶然的一天，一通电话让他重燃赛车手的热情。濒临停产的老头乐车厂厂长（贾冰 饰）是张驰的粉丝，他 主动提出赞助让张驰的车队去拼搏最后一届巴音布鲁克。老头乐的员工厉小海（范丞丞 饰）天赋出众，在张驰、孙宇强（尹正 饰）、记星（张本煜 饰）和万年不及格的菜鸟驾校学员刘显德（孙艺洲 饰）联合训练下，小海成长迅速。,"剧情,喜剧,运动", 汉语普通话,2024-02-10,121分钟,https://movie.douban.com/subject/36369452/
565101087081244,24284175,九龙城寨之围城,2024,郑保瑞,"古天乐,洪金宝,任贤齐,林峯,刘俊谦,黄德斌,伍允龙,胡子彤,张文杰,廖子妤,郭富城,蔡思韵,黄梓乐",7.4,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2907242293.jpg," 中国香港,中国大陆",上世纪八十年代，恶名昭著的“三不管”地带九龙城寨中黑帮盘踞，危机四伏。落难青年陈洛军（林峯  饰）因逃难误闯，意外被“大人物”龙卷风（古天乐 饰）搭救，更结下真挚兄弟情义。与此同时，觊觎城寨许久的恶人帮掀起了一轮轮夺寨狠斗，保卫家寨的高燃热血之战随即爆发！,"动作,犯罪", 粤语 / 汉语普通话,2024-05-01,126分钟,https://movie.douban.com/subject/24284175/
829402491255,35914398,哥斯拉-1.0,2023,山崎贵,"神木隆之介,滨边美波,山田裕贵,青木崇高,吉冈秀隆,安藤樱,佐佐木藏之介",6.6,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2900227040.jpg, 日本,影片为庆祝哥斯拉诞生70周年的纪念作品，也是东宝第30部哥斯拉大作。故事设定在二战后的日本，哥斯拉的出现仿佛要给已经变得一无所有（归0）的日本再添一击，将这个国家打到负值（负1.0）。,"剧情,科幻,灾难", 日语,2023-11-01,125分钟,https://movie.douban.com/subject/35914398/
97705076533508,35503073,对你的想象,2024,迈克尔·肖沃特,"安妮·海瑟薇,尼古拉斯·加利齐纳,艾拉·鲁宾,安妮·玛莫罗,瑞德·斯科特,帕芮·马费尔德,乔丹·亚伦·霍尔,玛蒂尔达·吉安诺普洛斯,Meg Millidge,奇克·曼诺哈,Ray Cham,Jaiden Anthony,维克托·怀特,Dakota Adan,罗克茜·里韦拉,格拉汉姆·诺顿,Grace Junot,Jon Levine,Demián Castro,特雷弗·戴维",5.9,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2905327559.jpg, 美国,本片根据Robinne Lee同名小说改编。由《大病》《塔米·菲的眼睛》导演迈克尔·肖沃特执导。40岁的离异母亲苏菲（安妮·海瑟薇饰），她的丈夫出轨年轻姑娘而抛弃了母女俩，也取消了原计划带着女儿去科切拉音乐节之旅。苏菲收拾好心情，整装出发，带着女儿去了科切拉，并见到了女儿最喜欢的乐队——August Moon，而这支乐队是目前全球最火的乐队，主唱海耶斯·坎贝尔（尼古拉斯·加利齐纳饰）聪明、成功、自信、时髦，对女孩子有立竿见影的吸引力。而且只有24岁，而俩人竟然走到了要一起。,"剧情,爱情", 英语,2024-03-16,115分钟,https://movie.douban.com/subject/35503073/
415490354651787,1308807,哈尔的移动城堡,2004,宫崎骏,"倍赏千惠子,木村拓哉,美轮明宏,我修院达也,神木隆之介,伊崎充则,大泉洋,大塚明夫,原田大二郎,加藤治子,都筑香弥子",9.1,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2907583906.jpg, 日本,继母因无力负担生活，将苏菲和她的两个妹妹都送到了制帽店去当学徒。两个妹妹很快先后就离开了制帽店去追寻各自的梦想，只有苏菲坚持了下来。一天，小镇旁边来了一座移动堡垒，传说堡垒的主人哈尔专吸取年青姑娘的灵魂，所以小镇的姑娘都不敢靠近。,"爱情,动画,奇幻,冒险", 日语,2024-04-30,119分钟,https://movie.douban.com/subject/1308807/
19375570731922,36208094,第二十条,2024,张艺谋,"雷佳音,马丽,赵丽颖,高叶,刘耀文,王骁,陈明昊,潘斌龙,张译,范伟,于和伟,许亚军,李乃文,蒋奇明,阿如那,杨皓宇,许静雅,乔杉,蒋诗萌,王沛禄,丁勇岱,刘奕铁,陈宣菲,史彭元,李晓川,杨一威,许文赫,宋木子,多习,飞凡,蒋鹏宇,王乃训,陈永胜,张壹男,黄炎,宋家腾,林博洋,张磊,李鲲",7.6,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2903145026.jpg, 中国大陆,人过中年的检察官韩明（雷佳音 饰）早已没了往日的锋芒，每日里柴米油盐，鸡毛蒜皮，尽快从挂职转正是他最为关心的问题。在此期间，康村王永强（潘斌龙 饰）为保护哑巴妻子（赵丽颖 饰）捅伤村霸刘文经（阿如那 饰）的案件甚嚣尘上。刘的家人纠集村匪恶霸上访闹事，要求判处王死刑。韩明的初恋女友——女检察官吕玲玲（高叶 饰）顶住各方压力，执意要找到关系案件走向的重要证据。另一方面，韩的儿子韩雨辰（刘耀文 饰）为制止校园霸凌将学校张主任（张译 饰）儿子打伤，关于是否应该道歉，双方展开了拉锯战。,"剧情,喜剧,家庭", 汉语普通话 / 中国手语,2024-02-10,141分钟,https://movie.douban.com/subject/36208094/
854036217429848,36208094,第二十条,2024,张艺谋,"雷佳音,马丽,赵丽颖,高叶,刘耀文,王骁,陈明昊,潘斌龙,张译,范伟,于和伟,许亚军,李乃文,蒋奇明,阿如那,杨皓宇,许静雅,乔杉,蒋诗萌,王沛禄,丁勇岱,刘奕铁,陈宣菲,史彭元,李晓川,杨一威,许文赫,宋木子,多习,飞凡,蒋鹏宇,王乃训,陈永胜,张壹男,黄炎,宋家腾,林博洋,张磊,李鲲",7.6,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2903145026.jpg, 中国大陆,人过中年的检察官韩明（雷佳音 饰）早已没了往日的锋芒，每日里柴米油盐，鸡毛蒜皮，尽快从挂职转正是他最为关心的问题。在此期间，康村王永强（潘斌龙 饰）为保护哑巴妻子（赵丽颖 饰）捅伤村霸刘文经（阿如那 饰）的案件甚嚣尘上。刘的家人纠集村匪恶霸上访闹事，要求判处王死刑。韩明的初恋女友——女检察官吕玲玲（高叶 饰）顶住各方压力，执意要找到关系案件走向的重要证据。另一方面，韩的儿子韩雨辰（刘耀文 饰）为制止校园霸凌将学校张主任（张译 饰）儿子打伤，关于是否应该道歉，双方展开了拉锯战。,"剧情,喜剧,家庭", 汉语普通话 / 中国手语,2024-02-10,141分钟,https://movie.douban.com/subject/36208094/
